Index,L/R,Ground Truth,Unnamed: 3,Unnamed: 4,video,index,estimated speed,Unnamed: 8,error,Metric
730.0,R,22.0,,,part 5,7.0,28.0,,27.27272727,
747.0,L,26.0,,,part 5,10.0,25.0,,3.846153846,
755.0,R,28.0,,,part 5,11.0,28.0,,0.0,
,,2.3333333333333335,,,,,,,,MAE
,,3.5118845842842465,,,,,,,,RMSE
,,10.372960372960371,,,,,,,,MAPE
,,-0.982142857142857,,,,,,,,R2
